mines,total_profit,avg_profit,games_won,games_lost,win_rate,avg_rounds_played
1,1504.1700000000005,15.041700000000006,73,27,0.73,10.11
2,1088.6899999999996,10.886899999999995,35,65,0.35,6.46
3,1774.3299999999997,17.743299999999998,29,71,0.29,6.6
4,3323.340000000006,33.23340000000006,21,79,0.21,5.48
5,2040.6999999999985,20.406999999999986,25,75,0.25,3.86
6,526.8399999999995,5.268399999999994,17,83,0.17,2.91
7,1431.869999999999,14.318699999999989,17,83,0.17,3.23
8,511.93,5.1193,13,87,0.13,2.64
9,2910.279999999997,29.10279999999997,11,89,0.11,2.78
10,563.68,5.636799999999999,12,88,0.12,2.18
11,397.79,3.9779,7,93,0.07,1.94
12,240.77999999999983,2.407799999999998,3,97,0.03,1.86
13,561.02,5.6102,2,98,0.02,1.81
14,96.99999999999993,0.9699999999999993,6,94,0.06,1.56
15,1691.8000000000002,16.918000000000003,2,98,0.02,1.75
16,55.5,0.555,3,97,0.03,1.38
17,149.35,1.4935,8,92,0.08,1.39
18,159.10999999999996,1.5910999999999995,4,96,0.04,1.34
19,39.75,0.3975,7,93,0.07,1.17
20,79.0,0.79,8,92,0.08,1.2
21,-24.93999999999999,-0.2493999999999999,2,98,0.02,1.11
22,9.0,0.09,4,96,0.04,1.1
23,238.5,2.385,1,99,0.01,1.06
24,-53.0,-0.53,2,98,0.02,1.0
