mines,total_profit,avg_profit,games_won,games_lost,win_rate,avg_rounds_played
1,12951.900000000014,12.951900000000014,610,390,0.61,9.222
2,17680.229999999967,17.680229999999966,417,583,0.417,7.053
3,29082.27,29.08227,300,700,0.3,5.974
4,60611.199999999895,60.6111999999999,273,727,0.273,4.865
5,41045.90000000035,41.04590000000035,210,790,0.21,3.952
6,416173.9300000004,416.1739300000004,183,817,0.183,3.605
7,551440.6000000009,551.4406000000009,156,844,0.156,3.215
8,14643.679999999946,14.643679999999947,152,848,0.152,2.733
9,18983.519999999975,18.983519999999974,109,891,0.109,2.546
10,14799.10999999997,14.79910999999997,92,908,0.092,2.229
11,6810.309999999972,6.810309999999972,80,920,0.08,2.05
12,88727.69999999915,88.72769999999915,82,918,0.082,1.918
13,5278.33000000003,5.27833000000003,67,933,0.067,1.757
14,3455.670000000032,3.455670000000032,84,916,0.084,1.618
15,6298.18,6.29818,62,938,0.062,1.47
16,4040.579999999999,4.040579999999999,60,940,0.06,1.453
17,3142.879999999985,3.1428799999999852,75,925,0.075,1.396
18,3294.3900000000085,3.2943900000000084,59,941,0.059,1.305
19,12562.0,12.562,56,944,0.056,1.251
20,4506.5,4.5065,48,952,0.048,1.19
21,2026.8999999999942,2.026899999999994,52,948,0.052,1.12
22,3086.0,3.086,36,964,0.036,1.097
23,1273.5,1.2735,46,954,0.046,1.037
24,-154.0,-0.154,36,964,0.036,1.0
1,13731.010000000018,13.731010000000019,628,372,0.628,9.524
2,21434.469999999903,21.4344699999999,406,594,0.406,7.364
3,31892.299999999967,31.892299999999967,341,659,0.341,5.693
4,36177.97999999994,36.17797999999994,255,745,0.255,4.758
5,92112.43999999997,92.11243999999998,201,799,0.201,3.97
6,27285.81000000007,27.28581000000007,167,833,0.167,3.57
7,11994.070000000069,11.994070000000068,141,859,0.141,3.006
8,17864.709999999945,17.864709999999945,166,834,0.166,2.689
9,12621.259999999975,12.621259999999975,103,897,0.103,2.51
10,24704.859999999968,24.704859999999968,88,912,0.088,2.258
11,15590.97000000008,15.590970000000079,90,910,0.09,2.045
12,87993.55999999956,87.99355999999956,76,924,0.076,1.87
13,398670.45999999985,398.6704599999998,88,912,0.088,1.781
14,7182.500000000045,7.1825000000000445,73,927,0.073,1.689
15,8075.530000000001,8.07553,56,944,0.056,1.566
16,11349.879999999994,11.349879999999994,56,944,0.056,1.517
17,125501.14999999954,125.50114999999954,67,933,0.067,1.374
18,5672.960000000005,5.672960000000004,68,932,0.068,1.312
19,4154.75,4.15475,36,964,0.036,1.265
20,52419.0,52.419,49,951,0.049,1.206
21,1695.499999999994,1.695499999999994,47,953,0.047,1.144
22,1438.5,1.4385,46,954,0.046,1.097
23,1924.0,1.924,44,956,0.044,1.051
24,-365.5,-0.3655,27,973,0.027,1.0
